Duration,Startdate,Enddate,Startnumber,Start station,Endnumber,End station,Bike number,Membertype
979,22-09-10 14:47,22-09-10 15:04,31000,Eads St & 15th St S,31000,Eads St & 15th St S,W01093,Casual
200,22-09-10 14:48,22-09-10 14:51,31003,15th & Crystal Dr,31008,12th & Army Navy Dr,W01016,Casual
742,22-09-10 14:48,22-09-10 15:01,31213,17th & K St NW,31101,14th & V St NW,W00615,Casual
281,22-09-10 14:49,22-09-10 14:53,31105,14th & Harvard St NW,31101,14th & V St NW,W01012,Member
728,22-09-10 14:51,22-09-10 15:03,31000,Eads St & 15th St S,31000,Eads St & 15th St S,W00799,Casual
785,22-09-10 14:55,22-09-10 15:08,31003,15th & Crystal Dr,31006,S Joyce & Army Navy Dr,W00822,Casual
737,22-09-10 14:55,22-09-10 15:07,31200,Massachusetts Ave & Dupont Circle NW,31100,19th St & Pennsylvania Ave NW,W01067,Member
1101,22-09-10 15:01,22-09-10 15:19,31000,Eads St & 15th St S,31005,Pentagon City Metro / 12th & S Hayes St,W01076,Casual
1417,22-09-10 15:01,22-09-10 15:24,31213,17th & K St NW,31103,16th & Harvard St NW,W00868,Casual
585,22-09-10 15:15,22-09-10 15:25,31200,Massachusetts Ave & Dupont Circle NW,31111,10th & U St NW,W00806,Member
873,22-09-10 15:18,22-09-10 15:32,31605,3rd & D St SE,31607,14th & D St SE,W00549,Casual
339,22-09-10 15:18,22-09-10 15:24,31602,Park Rd & Holmead Pl NW,31400,Georgia & New Hampshire Ave NW,W00640,Casual
718,22-09-10 15:21,22-09-10 15:33,31212,21st & M St NW,31204,20th & E St NW,W00048,Member
660,22-09-10 15:22,22-09-10 15:33,31600,5th & K St NW,31203,14th & Rhode Island Ave NW,W00843,Member
1946,22-09-10 15:23,22-09-10 15:55,31205,21st & I St NW,31605,3rd & D St SE,W00828,Member
14721,22-09-10 15:28,22-09-10 19:33,31212,21st & M St NW,31212,21st & M St NW,W00479,Casual
844,22-09-10 15:28,22-09-10 15:42,31004,Aurora Hills Community Ctr/18th & Hayes St,31010,S Glebe & Potomac Ave,W00354,Casual
1094,22-09-10 15:28,22-09-10 15:46,31205,21st & I St NW,31213,17th & K St NW,W00838,Member
12546,22-09-10 15:28,22-09-10 18:57,31604,3rd & H St NW,31203,14th & Rhode Island Ave NW,W00347,Casual
755,22-09-10 15:28,22-09-10 15:41,31201,15th & P St NW,31600,5th & K St NW,W00577,Member
14598,22-09-10 15:30,22-09-10 19:33,31212,21st & M St NW,31212,21st & M St NW,W00848,Casual
1654,22-09-10 15:44,22-09-10 16:11,31110,20th St & Florida Ave NW,31212,21st & M St NW,W00796,Member
841,22-09-10 15:45,22-09-10 15:59,31607,14th & D St SE,31208,M St & New Jersey Ave SE,W00808,Casual
306,22-09-10 15:46,22-09-10 15:51,31604,3rd & H St NW,31600,5th & K St NW,W00635,Member
296,22-09-10 15:46,22-09-10 15:51,31604,3rd & H St NW,31600,5th & K St NW,W00339,Member
356,22-09-10 15:52,22-09-10 15:58,31005,Pentagon City Metro / 12th & S Hayes St,31007,Crystal City Metro / 18th & Bell St,W01024,Casual
332,22-09-10 15:55,22-09-10 16:00,31600,5th & K St NW,31604,3rd & H St NW,W00614,Member
309,22-09-10 15:55,22-09-10 16:00,31600,5th & K St NW,31604,3rd & H St NW,W00976,Member
615,22-09-10 16:00,22-09-10 16:10,31604,3rd & H St NW,31109,7th & T St NW,W00482,Member
11463,22-09-10 16:06,22-09-10 19:17,31205,21st & I St NW,31205,21st & I St NW,W00557,Casual
1803,22-09-10 16:09,22-09-10 16:39,31101,14th & V St NW,31400,Georgia & New Hampshire Ave NW,W00911,Casual
4529,22-09-10 16:10,22-09-10 17:25,31002,20th & Crystal Dr,31107,Lamont & Mt Pleasant NW,W00642,Casual
557,22-09-10 16:13,22-09-10 16:22,31202,14th & R St NW,31213,17th & K St NW,W00943,Member
744,22-09-10 16:17,22-09-10 16:30,31213,17th & K St NW,31100,19th St & Pennsylvania Ave NW,W00968,Member
387,22-09-10 16:17,22-09-10 16:24,31213,17th & K St NW,31213,17th & K St NW,W00811,Member
528,22-09-10 16:22,22-09-10 16:31,31103,16th & Harvard St NW,31200,Massachusetts Ave & Dupont Circle NW,W00868,Member
440,22-09-10 16:27,22-09-10 16:35,31200,Massachusetts Ave & Dupont Circle NW,31205,21st & I St NW,W00491,Casual
330,22-09-10 16:35,22-09-10 16:41,31400,Georgia & New Hampshire Ave NW,31602,Park Rd & Holmead Pl NW,W00775,Casual
322,22-09-10 16:36,22-09-10 16:41,31602,Park Rd & Holmead Pl NW,31401,14th St & Spring Rd NW,W01113,Casual
5992,22-09-10 16:38,22-09-10 18:18,31109,7th & T St NW,31200,Massachusetts Ave & Dupont Circle NW,W00191,Casual
1063,22-09-10 16:40,22-09-10 16:58,31605,3rd & D St SE,31600,5th & K St NW,W00418,Member
767,22-09-10 16:41,22-09-10 16:54,31103,16th & Harvard St NW,31103,16th & Harvard St NW,W00767,Member
432,22-09-10 16:42,22-09-10 16:49,31110,20th St & Florida Ave NW,31205,21st & I St NW,W00289,Member
416,22-09-10 16:47,22-09-10 16:54,31212,21st & M St NW,31110,20th St & Florida Ave NW,W01101,Member
1062,22-09-10 16:48,22-09-10 17:06,31205,21st & I St NW,31108,4th & M St SW,W00987,Member
636,22-09-10 16:56,22-09-10 17:06,31208,M St & New Jersey Ave SE,31605,3rd & D St SE,W00826,Casual
381,22-09-10 16:57,22-09-10 17:04,31213,17th & K St NW,31201,15th & P St NW,W00811,Member
549,22-09-10 16:58,22-09-10 17:07,31101,14th & V St NW,31103,16th & Harvard St NW,W00428,Member
786,22-09-10 16:59,22-09-10 17:12,31600,5th & K St NW,31207,Georgia Ave and Fairmont St NW,W00418,Member
539,22-09-10 16:59,22-09-10 17:08,31104,Adams Mill & Columbia Rd NW,31111,10th & U St NW,W00288,Member
244,22-09-10 17:01,22-09-10 17:05,31109,7th & T St NW,31111,10th & U St NW,W00472,Member
632,22-09-10 17:07,22-09-10 17:18,31200,Massachusetts Ave & Dupont Circle NW,31101,14th & V St NW,W00868,Casual
2447,22-09-10 17:08,22-09-10 17:48,31212,21st & M St NW,31212,21st & M St NW,W00119,Casual
815,22-09-10 17:09,22-09-10 17:23,31104,Adams Mill & Columbia Rd NW,31205,21st & I St NW,W00543,Member
827,22-09-10 17:09,22-09-10 17:23,31103,16th & Harvard St NW,31213,17th & K St NW,W00767,Casual
1776,22-09-10 17:10,22-09-10 17:39,31802,Good Hope Rd & MLK Ave SE,31801,Anacostia Metro,W01049,Member
2135,22-09-10 17:10,22-09-10 17:45,31011,23rd & Crystal Dr,31209,1st & N St  SE,W00100,Casual
208,22-09-10 17:10,22-09-10 17:13,31212,21st & M St NW,31200,Massachusetts Ave & Dupont Circle NW,W01030,Member
5063,22-09-10 17:11,22-09-10 18:35,31200,Massachusetts Ave & Dupont Circle NW,31200,Massachusetts Ave & Dupont Circle NW,W00743,Member
1615,22-09-10 17:12,22-09-10 17:39,31600,5th & K St NW,31003,15th & Crystal Dr,W00777,Casual
422,22-09-10 17:15,22-09-10 17:22,31007,Crystal City Metro / 18th & Bell St,31011,23rd & Crystal Dr,W00821,Member
1008,22-09-10 17:21,22-09-10 17:38,31400,Georgia & New Hampshire Ave NW,31600,5th & K St NW,W00031,Member
6464,22-09-10 17:21,22-09-10 19:09,31212,21st & M St NW,31110,20th St & Florida Ave NW,W00290,Casual
626,22-09-10 17:21,22-09-10 17:32,31600,5th & K St NW,31201,15th & P St NW,W00377,Member
978,22-09-10 17:23,22-09-10 17:40,31600,5th & K St NW,31205,21st & I St NW,W00885,Member
1407,22-09-10 17:24,22-09-10 17:47,31213,17th & K St NW,31600,5th & K St NW,W00767,Casual
6125,22-09-10 17:26,22-09-10 19:08,31212,21st & M St NW,31110,20th St & Florida Ave NW,W00796,Casual
1434,22-09-10 17:28,22-09-10 17:52,31205,21st & I St NW,31201,15th & P St NW,W00289,Casual
294,22-09-10 17:28,22-09-10 17:33,31106,Calvert & Biltmore St NW,31104,Adams Mill & Columbia Rd NW,W01029,Casual
3567,22-09-10 17:33,22-09-10 18:33,31103,16th & Harvard St NW,31106,Calvert & Biltmore St NW,W00428,Casual
7580,22-09-10 17:34,22-09-10 19:40,31003,15th & Crystal Dr,31003,15th & Crystal Dr,W01025,Casual
3504,22-09-10 17:34,22-09-10 18:33,31103,16th & Harvard St NW,31106,Calvert & Biltmore St NW,W00159,Casual
7394,22-09-10 17:37,22-09-10 19:40,31003,15th & Crystal Dr,31003,15th & Crystal Dr,W01006,Casual
419,22-09-10 17:38,22-09-10 17:45,31605,3rd & D St SE,31607,14th & D St SE,?(0xFFFFFFFFADC1C69A),Member
984,22-09-10 17:38,22-09-10 17:55,31111,10th & U St NW,31107,Lamont & Mt Pleasant NW,W01059,Member
303,22-09-10 17:40,22-09-10 17:45,31002,20th & Crystal Dr,31009,27th & Crystal Dr,W00958,Member
198,22-09-10 17:40,22-09-10 17:43,31003,15th & Crystal Dr,31008,12th & Army Navy Dr,W00777,Casual
721,22-09-10 17:41,22-09-10 17:53,31604,3rd & H St NW,31201,15th & P St NW,W00614,Member
1016,22-09-10 17:41,22-09-10 17:58,31104,Adams Mill & Columbia Rd NW,31111,10th & U St NW,W01029,Casual
3585,22-09-10 17:57,22-09-10 18:57,31009,27th & Crystal Dr,31009,27th & Crystal Dr,W00958,Casual
5833,22-09-10 18:00,22-09-10 19:37,31204,20th & E St NW,31204,20th & E St NW,W00931,Casual
486,22-09-10 18:01,22-09-10 18:09,31213,17th & K St NW,31201,15th & P St NW,W00838,Member
443,22-09-10 18:05,22-09-10 18:13,31212,21st & M St NW,31203,14th & Rhode Island Ave NW,W00119,Member
5473,22-09-10 18:06,22-09-10 19:37,31204,20th & E St NW,31204,20th & E St NW,W00569,Casual
479,22-09-10 18:06,22-09-10 18:14,31105,14th & Harvard St NW,31201,15th & P St NW,W01081,Member
708,22-09-10 18:08,22-09-10 18:20,31200,Massachusetts Ave & Dupont Circle NW,31111,10th & U St NW,W00780,Member
5138,22-09-10 18:10,22-09-10 19:36,31201,15th & P St NW,31605,3rd & D St SE,W00838,Casual
815,22-09-10 18:11,22-09-10 18:25,31205,21st & I St NW,31600,5th & K St NW,W00885,Member
553,22-09-10 18:12,22-09-10 18:21,31602,Park Rd & Holmead Pl NW,31106,Calvert & Biltmore St NW,W00085,Member
809,22-09-10 18:18,22-09-10 18:32,31101,14th & V St NW,31212,21st & M St NW,W00745,Member
6564,22-09-10 18:19,22-09-10 20:09,31213,17th & K St NW,31103,16th & Harvard St NW,W00773,Casual
171,22-09-10 18:19,22-09-10 18:22,31204,20th & E St NW,31204,20th & E St NW,W01069,Member
628,22-09-10 18:23,22-09-10 18:33,31213,17th & K St NW,31101,14th & V St NW,W00943,Member
814,22-09-10 18:23,22-09-10 18:37,31607,14th & D St SE,31209,1st & N St  SE,W00439,Member
534,22-09-10 18:27,22-09-10 18:36,31204,20th & E St NW,31212,21st & M St NW,W01007,Casual
930,22-09-10 18:31,22-09-10 18:46,31100,19th St & Pennsylvania Ave NW,31600,5th & K St NW,W00415,Member
1496,22-09-10 18:31,22-09-10 18:56,31204,20th & E St NW,31111,10th & U St NW,W00637,Member
534,22-09-10 18:32,22-09-10 18:41,31103,16th & Harvard St NW,31107,Lamont & Mt Pleasant NW,W00639,Member
560,22-09-10 18:32,22-09-10 18:42,31202,14th & R St NW,31104,Adams Mill & Columbia Rd NW,W00556,Member
1122,22-09-10 18:38,22-09-10 18:56,31203,14th & Rhode Island Ave NW,31105,14th & Harvard St NW,W00340,Member
253,22-09-10 18:40,22-09-10 18:44,31000,Eads St & 15th St S,31003,15th & Crystal Dr,W01034,Member
468,22-09-10 18:41,22-09-10 18:49,31202,14th & R St NW,31201,15th & P St NW,W00508,Member
1510,22-09-10 18:42,22-09-10 19:07,31213,17th & K St NW,31103,16th & Harvard St NW,W00805,Casual
387,22-09-10 18:44,22-09-10 18:50,31200,Massachusetts Ave & Dupont Circle NW,31203,14th & Rhode Island Ave NW,W00903,Member
473,22-09-10 18:46,22-09-10 18:54,31100,19th St & Pennsylvania Ave NW,31201,15th & P St NW,W01050,Member
393,22-09-10 18:48,22-09-10 18:54,31200,Massachusetts Ave & Dupont Circle NW,31201,15th & P St NW,W00546,Member
432,22-09-10 18:49,22-09-10 18:56,31108,4th & M St SW,31209,1st & N St  SE,W00987,Member
